candidates: 362  (of which variable instances: 125)
measurable: 361

===== f983  (243s) =====
face                             r_free   cap    kx |   r_stem   kx* | stem/cap    dkx
Montserrat w625                  0.0840  50.0  1.60 |   0.0681  1.09 |   0.1953   0.46
Montserrat w525                  0.0822  53.0  1.54 |   0.0856  1.53 |   0.1512   0.07
Montserrat w425                  0.0818  54.5  1.54 |   0.0757  1.96 |   0.1132   0.42
FreeMono Bold                    0.0810  50.0  1.24 |   0.0796  1.24 |   0.1721   0.05
Montserrat w700                  0.0809  54.5  1.48 |   0.0673  0.97 |   0.2287   0.51
Montserrat w675                  0.0806  51.5  1.57 |   0.0691  1.02 |   0.2177   0.55
DejaVu Sans Bold Oblique         0.0797  54.5  1.51 |   0.0506  0.86 |   0.2577   0.65
Noto Serif Bold Italic           0.0797  56.0  1.60 |   0.0524  0.98 |   0.2258   0.62
Liberation Mono Italic           0.0797  53.0  1.60 |   0.0791  1.56 |   0.1418   0.04
Liberation Sans Bold             0.0795  56.0  1.57 |   0.0581  1.11 |   0.2083   0.51
Montserrat w375                  0.0794  53.0  1.57 |      nan   nan |   0.0963   0.73
Montserrat w775                  0.0794  51.5  1.54 |   0.0556  0.83 |   0.2668   0.71
Montserrat w400                  0.0791  53.0  1.57 |   0.0739  2.05 |   0.1040   0.56
Montserrat w825                  0.0790  56.0  1.48 |   0.0551  0.73 |   0.2914   0.72
Montserrat w900                  0.0787  56.0  1.09 |   0.0593  0.64 |   0.3314   0.42
Golos Text w725                  0.0787  54.5  1.27 |   0.0507  0.78 |   0.2714   0.45
DejaVu Sans Bold                 0.0785  53.0  1.60 |   0.0666  0.90 |   0.2574   0.74

===== NULL1  (925s) =====
face                             r_free   cap    kx |   r_stem   kx* | stem/cap    dkx
Montserrat w775                  0.0865  56.0  1.60 |   0.0615  0.80 |   0.2668   0.77
Montserrat w800                  0.0852  56.0  1.60 |   0.0586  0.80 |   0.2786   0.80
Golos Text w525                  0.0828  56.0  1.27 |   0.0822  1.27 |   0.1815   0.05
Golos Text w500                  0.0819  56.0  1.27 |   0.0763  1.30 |   0.1708   0.03
Noto Serif Bold                  0.0816  56.0  1.21 |   0.0641  1.04 |   0.2222   0.21
Montserrat w750                  0.0813  56.0  1.60 |   0.0594  0.84 |   0.2540   0.73
Golos Text w550                  0.0813  56.0  1.27 |   0.0754  1.15 |   0.1922   0.12
Rubik w850                       0.0808  54.5  1.33 |   0.0638  0.67 |   0.3323   0.66
Nimbus Sans Narrow Bold          0.0804  56.0  1.57 |   0.0630  1.24 |   0.1714   0.28
Nimbus Mono PS Regular           0.0802  54.5  1.45 |      nan   nan |   0.0931   0.93
Golos Text w900                  0.0801  50.0  1.48 |   0.0537  0.56 |   0.3787   0.89
Rubik w325                       0.0801  50.0  1.36 |   0.0587  2.14 |   0.1036   0.78
Golos Text w475                  0.0800  56.0  1.27 |   0.0795  1.33 |   0.1601   0.11
Rubik w425                       0.0793  56.0  1.30 |   0.0736  1.45 |   0.1530   0.15
Golos Text w600                  0.0793  56.0  1.15 |   0.0583  1.00 |   0.2135   0.11
FreeSerif Regular                0.0792  54.5  1.45 |   0.0769  1.49 |   0.1548   0.02
Golos Text w850                  0.0791  54.5  1.39 |   0.0593  0.66 |   0.3501   0.76
Rubik w525                       0.0790  56.0  1.27 |   0.0556  1.03 |   0.2064   0.20
Montserrat w850                  0.0790  56.0  1.57 |   0.0677  0.73 |   0.3055   0.84
Gentium Plus Regular             0.0789  56.0  1.30 |   0.0602  1.82 |   0.1266   0.45
Montserrat w875                  0.0786  56.0  1.57 |   0.0671  0.73 |   0.3182   0.87
Gentium Book Plus Regular        0.0786  56.0  1.27 |   0.0694  1.41 |   0.1504   0.20
Golos Text w425                  0.0785  51.5  1.39 |   0.0624  1.61 |   0.1429   0.16
Rubik w800                       0.0785  51.5  1.42 |   0.0589  0.75 |   0.3072   0.70
Gentium Plus Compact Regular     0.0784  56.0  1.30 |   0.0569  1.74 |   0.1271   0.44
Golos Text w575                  0.0784  54.5  1.30 |   0.0577  1.09 |   0.2028   0.21
Rubik w450                       0.0784  53.0  1.36 |   0.0817  1.29 |   0.1714   0.07
Rubik w375                       0.0779  54.5  1.24 |   0.0709  1.65 |   0.1286   0.48

total 925s
